単語,元単語,問題ID,読み方,別解,別表記,意味,追記,レベル,画像,切り抜き画像,Tags
滔る,,Lv05_0001,はびこる,,㴞󠄂る,水が勢いよく広がる。水が満ちあふれる。,「蔓延(はびこ)る」は違う言葉。,05,"<img src=""Lv05_0001.png"">","<img src=""Lv05_0001_cropped.png"">",漢字でGO!-05
㴞󠄂る,滔る,Lv05_0001,はびこる,,滔る,水が勢いよく広がる。水が満ちあふれる。,「蔓延(はびこ)る」は違う言葉。,05,"<img src=""Lv05_0001.png"">","<img src=""Lv05_0001_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
綏,,Lv05_0002,たれひも,,垂れ紐,車に乗るときや、車中で立つ際に掴まるためのひも。,,05,"<img src=""Lv05_0002.png"">","<img src=""Lv05_0002_cropped.png"">",漢字でGO!-05
垂れ紐,綏,Lv05_0002,たれひも,,綏,車に乗るときや、車中で立つ際に掴まるためのひも。,,05,"<img src=""Lv05_0002.png"">","<img src=""Lv05_0002_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
拉げる,,Lv05_0003,ひしゃげる,ひしげる,,押されてつぶれる。ぺしゃんこになる。,,05,"<img src=""Lv05_0003.png"">","<img src=""Lv05_0003_cropped.png"">",漢字でGO!-05
翌る日,,Lv05_0004,あくる日,,明くる日,現在、または過去のある日からみて、次の日。翌日。,,05,"<img src=""Lv05_0004.png"">","<img src=""Lv05_0004_cropped.png"">",漢字でGO!-05
明くる日,翌る日,Lv05_0004,あくる日,,翌る日,現在、または過去のある日からみて、次の日。翌日。,,05,"<img src=""Lv05_0004.png"">","<img src=""Lv05_0004_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
魚虎,,Lv05_0005,かわせみ,,翡翠・魚狗・翡・翠・鴗,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05
翡翠,魚虎,Lv05_0005,かわせみ,,魚虎・魚狗・翡・翠・鴗,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
魚狗,魚虎,Lv05_0005,かわせみ,,魚虎・翡翠・翡・翠・鴗,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
翡,魚虎,Lv05_0005,かわせみ,,魚虎・翡翠・魚狗・翠・鴗,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
翠,魚虎,Lv05_0005,かわせみ,,魚虎・翡翠・魚狗・翡・鴗,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
鴗,魚虎,Lv05_0005,かわせみ,,魚虎・翡翠・魚狗・翡・翠,ブッポウソウ目カワセミ科の小鳥。,魚虎(はりせんぼん)とも。,05,"<img src=""Lv05_0005.png"">","<img src=""Lv05_0005_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
蘖,,Lv05_0006,ひこばえ,,孫生え・孼・櫱,樹木や切り株の根元から生える若芽。,,05,"<img src=""Lv05_0006.png"">","<img src=""Lv05_0006_cropped.png"">",漢字でGO!-05
孫生え,蘖,Lv05_0006,ひこばえ,,蘖・孼・櫱,樹木や切り株の根元から生える若芽。,,05,"<img src=""Lv05_0006.png"">","<img src=""Lv05_0006_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
孼,蘖,Lv05_0006,ひこばえ,,蘖・孫生え・櫱,樹木や切り株の根元から生える若芽。,,05,"<img src=""Lv05_0006.png"">","<img src=""Lv05_0006_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
櫱,蘖,Lv05_0006,ひこばえ,,蘖・孫生え・孼,樹木や切り株の根元から生える若芽。,,05,"<img src=""Lv05_0006.png"">","<img src=""Lv05_0006_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
榻,,Lv05_0007,こしかけ,,腰掛け・牀󠄂,腰をかける台。長いす。,,05,"<img src=""Lv05_0007.png"">","<img src=""Lv05_0007_cropped.png"">",漢字でGO!-05
腰掛け,榻,Lv05_0007,こしかけ,,榻・牀󠄂,腰をかける台。長いす。,,05,"<img src=""Lv05_0007.png"">","<img src=""Lv05_0007_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
牀󠄂,榻,Lv05_0007,こしかけ,,榻・腰掛け,腰をかける台。長いす。,,05,"<img src=""Lv05_0007.png"">","<img src=""Lv05_0007_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
諄い,,Lv05_0008,くどい,,,しつこくて、うるさい。また、あっさりしていない。,,05,"<img src=""Lv05_0008.png"">","<img src=""Lv05_0008_cropped.png"">",漢字でGO!-05
已己巳己,,Lv05_0009,いこみき,,,互いに似ているもののたとえ。,,05,"<img src=""Lv05_0009.png"">","<img src=""Lv05_0009_cropped.png"">",漢字でGO!-05
无何之郷,,Lv05_0010,むかのきょう,,,何もない、果てしなく広い地。,「無何有郷(むかゆうきょう)」または「無何有(むかう)の郷(さと)」は、自然のままで何の作為もない理想郷のこと。,05,"<img src=""Lv05_0010.png"">","<img src=""Lv05_0010_cropped.png"">",漢字でGO!-05
秣,,Lv05_0011,まぐさ,,馬草,馬や牛の飼料とする草。,,05,"<img src=""Lv05_0011.png"">","<img src=""Lv05_0011_cropped.png"">",漢字でGO!-05
馬草,秣,Lv05_0011,まぐさ,,秣,馬や牛の飼料とする草。,,05,"<img src=""Lv05_0011.png"">","<img src=""Lv05_0011_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
羊蹄,,Lv05_0012,しのね,,,ギシギシの古名。,羊蹄(ギシギシ)、羊蹄(ようてい)とも。,05,"<img src=""Lv05_0012.png"">","<img src=""Lv05_0012_cropped.png"">",漢字でGO!-05
馬大頭,,Lv05_0013,おにやんま,,鬼蜻蜓,トンボ目オニヤンマ科の昆虫。日本のトンボの中では最大。,,05,"<img src=""Lv05_0013.png"">","<img src=""Lv05_0013_cropped.png"">",漢字でGO!-05
鬼蜻蜓,馬大頭,Lv05_0013,おにやんま,,馬大頭,トンボ目オニヤンマ科の昆虫。日本のトンボの中では最大。,,05,"<img src=""Lv05_0013.png"">","<img src=""Lv05_0013_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
三井寺歩行虫,,Lv05_0014,みいでらごみむし,,,ホソクビゴミムシ科の昆虫。ヘッピリムシの異名で知られる。,,05,"<img src=""Lv05_0014.png"">","<img src=""Lv05_0014_cropped.png"">",漢字でGO!-05
薑,,Lv05_0015,しょうが,はじかみ,生姜,ショウガ目ショウガ科の多年草。,,05,"<img src=""Lv05_0015.png"">","<img src=""Lv05_0015_cropped.png"">",漢字でGO!-05
生姜,薑,Lv05_0015,しょうが,はじかみ,薑,ショウガ目ショウガ科の多年草。,,05,"<img src=""Lv05_0015.png"">","<img src=""Lv05_0015_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
萵苣,,Lv05_0016,ちさ,,苣,レタスまたは、レタスに似た野菜の総称。,萵苣(ちしゃ)とも。,05,"<img src=""Lv05_0016.png"">","<img src=""Lv05_0016_cropped.png"">",漢字でGO!-05
苣,萵苣,Lv05_0016,ちさ,,萵苣,レタスまたは、レタスに似た野菜の総称。,萵苣(ちしゃ)とも。,05,"<img src=""Lv05_0016.png"">","<img src=""Lv05_0016_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
満天星,,Lv05_0017,どうだんつつじ,,灯台躑躅,ツツジ目ツツジ科の常緑低木。「&ruby{満天星}(まんてんせい}」とも。,,05,"<img src=""Lv05_0017.png"">","<img src=""Lv05_0017_cropped.png"">",漢字でGO!-05
灯台躑躅,満天星,Lv05_0017,どうだんつつじ,,満天星,ツツジ目ツツジ科の常緑低木。「&ruby{満天星}(まんてんせい}」とも。,,05,"<img src=""Lv05_0017.png"">","<img src=""Lv05_0017_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
黜陟,,Lv05_0018,ちゅっちょく,ちっちょく,,功績によって官位を上げ下げすること。,,05,"<img src=""Lv05_0018.png"">","<img src=""Lv05_0018_cropped.png"">",漢字でGO!-05
赤孑孑,,Lv05_0019,あかぼうふら,,赤孑孒・赤虷・赤蜎・赤肙,ユスリカ類の幼虫。アカムシ。,,05,"<img src=""Lv05_0019.png"">","<img src=""Lv05_0019_cropped.png"">",漢字でGO!-05
赤孑孒,赤孑孑,Lv05_0019,あかぼうふら,,赤孑孑・赤虷・赤蜎・赤肙,ユスリカ類の幼虫。アカムシ。,,05,"<img src=""Lv05_0019.png"">","<img src=""Lv05_0019_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
赤虷,赤孑孑,Lv05_0019,あかぼうふら,,赤孑孑・赤孑孒・赤蜎・赤肙,ユスリカ類の幼虫。アカムシ。,,05,"<img src=""Lv05_0019.png"">","<img src=""Lv05_0019_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
赤蜎,赤孑孑,Lv05_0019,あかぼうふら,,赤孑孑・赤孑孒・赤虷・赤肙,ユスリカ類の幼虫。アカムシ。,,05,"<img src=""Lv05_0019.png"">","<img src=""Lv05_0019_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
赤肙,赤孑孑,Lv05_0019,あかぼうふら,,赤孑孑・赤孑孒・赤虷・赤蜎,ユスリカ類の幼虫。アカムシ。,,05,"<img src=""Lv05_0019.png"">","<img src=""Lv05_0019_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
匏,,Lv05_0020,ひさご,ふくべ,瓢・瓠・箪,ヒョウタンの別称。,,05,"<img src=""Lv05_0020.png"">","<img src=""Lv05_0020_cropped.png"">",漢字でGO!-05
瓢,匏,Lv05_0020,ひさご,ふくべ,匏・瓠・箪,ヒョウタンの別称。,,05,"<img src=""Lv05_0020.png"">","<img src=""Lv05_0020_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
瓠,匏,Lv05_0020,ひさご,ふくべ,匏・瓢・箪,ヒョウタンの別称。,,05,"<img src=""Lv05_0020.png"">","<img src=""Lv05_0020_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
箪,匏,Lv05_0020,ひさご,ふくべ,匏・瓢・瓠,ヒョウタンの別称。,,05,"<img src=""Lv05_0020.png"">","<img src=""Lv05_0020_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
凸柑,,Lv05_0021,ぽんかん,,椪柑,ミカン科ミカン属の柑橘類。インド北部が原産。,,05,"<img src=""Lv05_0021.png"">","<img src=""Lv05_0021_cropped.png"">",漢字でGO!-05
椪柑,凸柑,Lv05_0021,ぽんかん,,凸柑,ミカン科ミカン属の柑橘類。インド北部が原産。,,05,"<img src=""Lv05_0021.png"">","<img src=""Lv05_0021_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
斑葉,,Lv05_0022,いさは,,,表面に白い筋や斑点ができた植物のこと。,,05,"<img src=""Lv05_0022.png"">","<img src=""Lv05_0022_cropped.png"">",漢字でGO!-05
檀,,Lv05_0023,まゆみ,,真弓・𣞀,ニシキギ科ニシキギ属の落葉樹。,,05,"<img src=""Lv05_0023.png"">","<img src=""Lv05_0023_cropped.png"">",漢字でGO!-05
真弓,檀,Lv05_0023,まゆみ,,檀・𣞀,ニシキギ科ニシキギ属の落葉樹。,,05,"<img src=""Lv05_0023.png"">","<img src=""Lv05_0023_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
𣞀,檀,Lv05_0023,まゆみ,,檀・真弓,ニシキギ科ニシキギ属の落葉樹。,,05,"<img src=""Lv05_0023.png"">","<img src=""Lv05_0023_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
澗,,Lv05_0024,たにみず,,谷水・㵎,谷間を流れる水。谷川の水。,,05,"<img src=""Lv05_0024.png"">","<img src=""Lv05_0024_cropped.png"">",漢字でGO!-05
谷水,澗,Lv05_0024,たにみず,,澗・㵎,谷間を流れる水。谷川の水。,,05,"<img src=""Lv05_0024.png"">","<img src=""Lv05_0024_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
㵎,澗,Lv05_0024,たにみず,,澗・谷水,谷間を流れる水。谷川の水。,,05,"<img src=""Lv05_0024.png"">","<img src=""Lv05_0024_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
僑,,Lv05_0025,かりずまい,,仮住まい・寓,仮として一時的に住んでいること。,,05,"<img src=""Lv05_0025.png"">","<img src=""Lv05_0025_cropped.png"">",漢字でGO!-05
仮住まい,僑,Lv05_0025,かりずまい,,僑・寓,仮として一時的に住んでいること。,,05,"<img src=""Lv05_0025.png"">","<img src=""Lv05_0025_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
寓,僑,Lv05_0025,かりずまい,,僑・仮住まい,仮として一時的に住んでいること。,,05,"<img src=""Lv05_0025.png"">","<img src=""Lv05_0025_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
榛色,,Lv05_0026,はしばみいろ,,,くすんだ赤みの黄色。ヘーゼルナッツの色として例えられる。,,05,"<img src=""Lv05_0026.png"">","<img src=""Lv05_0026_cropped.png"">",漢字でGO!-05
闃然,,Lv05_0027,げきぜん,けきぜん,,ひっそりと静まりかえっているさま。,,05,"<img src=""Lv05_0027.png"">","<img src=""Lv05_0027_cropped.png"">",漢字でGO!-05
仏龕,,Lv05_0028,ぶつがん,,,仏像や経文を安置するために設けられた個室や容器のこと。,,05,"<img src=""Lv05_0028.png"">","<img src=""Lv05_0028_cropped.png"">",漢字でGO!-05
明礬泉,,Lv05_0029,みょうばんせん,,,アルミニウムと硫酸イオンを含む温泉。&ruby{収斂}(しゅうれん}作用があり慢性皮膚病に有効とされる。,,05,"<img src=""Lv05_0029.png"">","<img src=""Lv05_0029_cropped.png"">",漢字でGO!-05
冪冪,,Lv05_0030,べきべき,,,雲や塵などが一面におおうさま。,,05,"<img src=""Lv05_0030.png"">","<img src=""Lv05_0030_cropped.png"">",漢字でGO!-05
酣,,Lv05_0031,たけなわ,,闌・筰,物事の一番の盛り。宴の最盛時。,,05,"<img src=""Lv05_0031.png"">","<img src=""Lv05_0031_cropped.png"">",漢字でGO!-05
闌,酣,Lv05_0031,たけなわ,,酣・筰,物事の一番の盛り。宴の最盛時。,,05,"<img src=""Lv05_0031.png"">","<img src=""Lv05_0031_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
筰,酣,Lv05_0031,たけなわ,,酣・闌,物事の一番の盛り。宴の最盛時。,,05,"<img src=""Lv05_0031.png"">","<img src=""Lv05_0031_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
喞つ,,Lv05_0032,かこつ,,託つ・撟つ,他の事柄を口実とする。かこつける。,,05,"<img src=""Lv05_0032.png"">","<img src=""Lv05_0032_cropped.png"">",漢字でGO!-05
託つ,喞つ,Lv05_0032,かこつ,,喞つ・撟つ,他の事柄を口実とする。かこつける。,,05,"<img src=""Lv05_0032.png"">","<img src=""Lv05_0032_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
撟つ,喞つ,Lv05_0032,かこつ,,喞つ・託つ,他の事柄を口実とする。かこつける。,,05,"<img src=""Lv05_0032.png"">","<img src=""Lv05_0032_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
燥ぐ,,Lv05_0033,はしゃぐ,,,調子づいて浮かれさわぐ。また、乾燥する。かわく。,,05,"<img src=""Lv05_0033.png"">","<img src=""Lv05_0033_cropped.png"">",漢字でGO!-05
纔か,,Lv05_0034,わずか,,僅か・寸か・尺か・毫か,きわめて少ないさま。,,05,"<img src=""Lv05_0034.png"">","<img src=""Lv05_0034_cropped.png"">",漢字でGO!-05
僅か,纔か,Lv05_0034,わずか,,纔か・寸か・尺か・毫か,きわめて少ないさま。,,05,"<img src=""Lv05_0034.png"">","<img src=""Lv05_0034_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
寸か,纔か,Lv05_0034,わずか,,纔か・僅か・尺か・毫か,きわめて少ないさま。,,05,"<img src=""Lv05_0034.png"">","<img src=""Lv05_0034_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
尺か,纔か,Lv05_0034,わずか,,纔か・僅か・寸か・毫か,きわめて少ないさま。,,05,"<img src=""Lv05_0034.png"">","<img src=""Lv05_0034_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
毫か,纔か,Lv05_0034,わずか,,纔か・僅か・寸か・尺か,きわめて少ないさま。,,05,"<img src=""Lv05_0034.png"">","<img src=""Lv05_0034_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
註す,,Lv05_0035,ときあかす,,解き明かす,文の解釈や字句の意味を明らかにする。,,05,"<img src=""Lv05_0035.png"">","<img src=""Lv05_0035_cropped.png"">",漢字でGO!-05
解き明かす,註す,Lv05_0035,ときあかす,,註す,文の解釈や字句の意味を明らかにする。,,05,"<img src=""Lv05_0035.png"">","<img src=""Lv05_0035_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
猾い,,Lv05_0036,わるがしこい,,悪賢い・狡い・獪い,悪い方面で知恵がまわる様子。ずるい。,,05,"<img src=""Lv05_0036.png"">","<img src=""Lv05_0036_cropped.png"">",漢字でGO!-05
悪賢い,猾い,Lv05_0036,わるがしこい,,猾い・狡い・獪い,悪い方面で知恵がまわる様子。ずるい。,,05,"<img src=""Lv05_0036.png"">","<img src=""Lv05_0036_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
狡い,猾い,Lv05_0036,わるがしこい,,猾い・悪賢い・獪い,悪い方面で知恵がまわる様子。ずるい。,,05,"<img src=""Lv05_0036.png"">","<img src=""Lv05_0036_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
獪い,猾い,Lv05_0036,わるがしこい,,猾い・悪賢い・狡い,悪い方面で知恵がまわる様子。ずるい。,,05,"<img src=""Lv05_0036.png"">","<img src=""Lv05_0036_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
恬安,,Lv05_0037,てんあん,,,心が安らかで落ち着いていること。,,05,"<img src=""Lv05_0037.png"">","<img src=""Lv05_0037_cropped.png"">",漢字でGO!-05
呑噬,,Lv05_0038,どんぜい,,,他国を攻略してその領土を奪うこと。飲むことと噛むこと。,,05,"<img src=""Lv05_0038.png"">","<img src=""Lv05_0038_cropped.png"">",漢字でGO!-05
兀兀,,Lv05_0039,こつこつ,,矻矻,たゆまずに努力する様子。,,05,"<img src=""Lv05_0039.png"">","<img src=""Lv05_0039_cropped.png"">",漢字でGO!-05
矻矻,兀兀,Lv05_0039,こつこつ,,兀兀,たゆまずに努力する様子。,,05,"<img src=""Lv05_0039.png"">","<img src=""Lv05_0039_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
飯匙倩,,Lv05_0040,はぶ,,波布,&ruby{有鱗}(ゆうりん}目クサリヘビ科のヘビ。沖縄ではハブを漬けた薬用酒が有名。,,05,"<img src=""Lv05_0040.png"">","<img src=""Lv05_0040_cropped.png"">",漢字でGO!-05
波布,飯匙倩,Lv05_0040,はぶ,,飯匙倩,&ruby{有鱗}(ゆうりん}目クサリヘビ科のヘビ。沖縄ではハブを漬けた薬用酒が有名。,,05,"<img src=""Lv05_0040.png"">","<img src=""Lv05_0040_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
鑰匙,,Lv05_0041,やくし,,,鍵のこと。,,05,"<img src=""Lv05_0041.png"">","<img src=""Lv05_0041_cropped.png"">",漢字でGO!-05
欠缺,,Lv05_0042,けんけつ,,,法律において、ある要件の欠けていること。,缺欠は「欠点」を意味する中国語。,05,"<img src=""Lv05_0042.png"">","<img src=""Lv05_0042_cropped.png"">",漢字でGO!-05
肉髻,,Lv05_0043,にっけい,にくけい,,仏像の頭頂の隆起した部分のこと。智恵が詰まっていることを表している。,,05,"<img src=""Lv05_0043.png"">","<img src=""Lv05_0043_cropped.png"">",漢字でGO!-05
乞巧奠,,Lv05_0044,きっこうでん,きこうでん,,平安時代の宮中などで催された七夕行事。,,05,"<img src=""Lv05_0044.png"">","<img src=""Lv05_0044_cropped.png"">",漢字でGO!-05
欹歟,,Lv05_0045,いよ,,猗歟,感嘆の声。ああ。,,05,"<img src=""Lv05_0045.png"">","<img src=""Lv05_0045_cropped.png"">",漢字でGO!-05
猗歟,欹歟,Lv05_0045,いよ,,欹歟,感嘆の声。ああ。,,05,"<img src=""Lv05_0045.png"">","<img src=""Lv05_0045_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
首楞厳三昧,,Lv05_0046,しゅりょうごん三昧,,,仏語。あらゆる法門を包含する三昧(さんまい)のこと。,,05,"<img src=""Lv05_0046.png"">","<img src=""Lv05_0046_cropped.png"">",漢字でGO!-05
儁異,,Lv05_0047,しゅんい,,俊異,才能などが優れており、常人と異なること。,,05,"<img src=""Lv05_0047.png"">","<img src=""Lv05_0047_cropped.png"">",漢字でGO!-05
俊異,儁異,Lv05_0047,しゅんい,,儁異,才能などが優れており、常人と異なること。,,05,"<img src=""Lv05_0047.png"">","<img src=""Lv05_0047_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
頌偈,,Lv05_0048,じゅげ,,,仏語。仏の徳をたたえる一種の詩。,,05,"<img src=""Lv05_0048.png"">","<img src=""Lv05_0048_cropped.png"">",漢字でGO!-05
挈げる,,Lv05_0049,ひっさげる,,引っ提げる・引っ下げる・提げる,手にさげて持つ。たずさえる。,,05,"<img src=""Lv05_0049.png"">","<img src=""Lv05_0049_cropped.png"">",漢字でGO!-05
引っ提げる,挈げる,Lv05_0049,ひっさげる,,挈げる・引っ下げる・提げる,手にさげて持つ。たずさえる。,,05,"<img src=""Lv05_0049.png"">","<img src=""Lv05_0049_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
引っ下げる,挈げる,Lv05_0049,ひっさげる,,挈げる・引っ提げる・提げる,手にさげて持つ。たずさえる。,,05,"<img src=""Lv05_0049.png"">","<img src=""Lv05_0049_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
提げる,挈げる,Lv05_0049,ひっさげる,,挈げる・引っ提げる・引っ下げる,手にさげて持つ。たずさえる。,,05,"<img src=""Lv05_0049.png"">","<img src=""Lv05_0049_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
宜宜し,,Lv05_0050,うべうべし,むべむべし,,格式張っている。頼もしい。,,05,"<img src=""Lv05_0050.png"">","<img src=""Lv05_0050_cropped.png"">",漢字でGO!-05
嬾る,,Lv05_0051,おこたる,,怠る・懈る,しなければいけない事を、なまける。,,05,"<img src=""Lv05_0051.png"">","<img src=""Lv05_0051_cropped.png"">",漢字でGO!-05
怠る,嬾る,Lv05_0051,おこたる,,嬾る・懈る,しなければいけない事を、なまける。,,05,"<img src=""Lv05_0051.png"">","<img src=""Lv05_0051_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
懈る,嬾る,Lv05_0051,おこたる,,嬾る・怠る,しなければいけない事を、なまける。,,05,"<img src=""Lv05_0051.png"">","<img src=""Lv05_0051_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
遽しい,,Lv05_0052,あわただしい,,慌ただしい,あわてて落ち着かない様子である。せわしい。,,05,"<img src=""Lv05_0052.png"">","<img src=""Lv05_0052_cropped.png"">",漢字でGO!-05
慌ただしい,遽しい,Lv05_0052,あわただしい,,遽しい,あわてて落ち着かない様子である。せわしい。,,05,"<img src=""Lv05_0052.png"">","<img src=""Lv05_0052_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
流眄,,Lv05_0053,りゅうべん,りゅうめん・ながしめ,,流し目で見ること。,,05,"<img src=""Lv05_0053.png"">","<img src=""Lv05_0053_cropped.png"">",漢字でGO!-05
塵埃,,Lv05_0054,じんあい,,,ちりとほこり。また、世の中のもろもろの汚れたもの。俗世間の事柄。,,05,"<img src=""Lv05_0054.png"">","<img src=""Lv05_0054_cropped.png"">",漢字でGO!-05
丱角,,Lv05_0055,かんかく,,,あげまき。幼児。,,05,"<img src=""Lv05_0055.png"">","<img src=""Lv05_0055_cropped.png"">",漢字でGO!-05
歓喜抃舞,,Lv05_0056,かんきべんぶ,,,喜びのあまり小躍りすること。,,05,"<img src=""Lv05_0056.png"">","<img src=""Lv05_0056_cropped.png"">",漢字でGO!-05
苟且,,Lv05_0057,かりそめ,こうしょ,仮初め,一時的なこと。間に合わせ。,,05,"<img src=""Lv05_0057.png"">","<img src=""Lv05_0057_cropped.png"">",漢字でGO!-05
仮初め,苟且,Lv05_0057,かりそめ,こうしょ,苟且,一時的なこと。間に合わせ。,,05,"<img src=""Lv05_0057.png"">","<img src=""Lv05_0057_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
膃肭臍,,Lv05_0058,おっとせい,,,アシカ科のうち、キタオットセイ属とミナミオットセイ属の総称。,,05,"<img src=""Lv05_0058.png"">","<img src=""Lv05_0058_cropped.png"">",漢字でGO!-05
山原水鶏,,Lv05_0059,やんばるくいな,,,ツル目クイナ科の鳥。沖縄の山原地域の固有種で、絶滅危惧種。,,05,"<img src=""Lv05_0059.png"">","<img src=""Lv05_0059_cropped.png"">",漢字でGO!-05
鼠姑,,Lv05_0060,わらじむし,,草鞋虫・蟠,ワラジムシ亜目ワラジムシ科の虫の総称。,,05,"<img src=""Lv05_0060.png"">","<img src=""Lv05_0060_cropped.png"">",漢字でGO!-05
草鞋虫,鼠姑,Lv05_0060,わらじむし,,鼠姑・蟠,ワラジムシ亜目ワラジムシ科の虫の総称。,,05,"<img src=""Lv05_0060.png"">","<img src=""Lv05_0060_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
蟠,鼠姑,Lv05_0060,わらじむし,,鼠姑・草鞋虫,ワラジムシ亜目ワラジムシ科の虫の総称。,,05,"<img src=""Lv05_0060.png"">","<img src=""Lv05_0060_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
蹼,,Lv05_0061,みずかき,,水掻き,水鳥などの指の間にある、膜のような部分。水をかいて泳ぐ。,,05,"<img src=""Lv05_0061.png"">","<img src=""Lv05_0061_cropped.png"">",漢字でGO!-05
水掻き,蹼,Lv05_0061,みずかき,,蹼,水鳥などの指の間にある、膜のような部分。水をかいて泳ぐ。,,05,"<img src=""Lv05_0061.png"">","<img src=""Lv05_0061_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
鬩ぎ合い,,Lv05_0062,せめぎ合い,,,互いに恨んで争うこと。,,05,"<img src=""Lv05_0062.png"">","<img src=""Lv05_0062_cropped.png"">",漢字でGO!-05
麾く,,Lv05_0063,さしまねく,,差し招く・撝く・扜く,手招きすること。,,05,"<img src=""Lv05_0063.png"">","<img src=""Lv05_0063_cropped.png"">",漢字でGO!-05
差し招く,麾く,Lv05_0063,さしまねく,,麾く・撝く・扜く,手招きすること。,,05,"<img src=""Lv05_0063.png"">","<img src=""Lv05_0063_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
撝く,麾く,Lv05_0063,さしまねく,,麾く・差し招く・扜く,手招きすること。,,05,"<img src=""Lv05_0063.png"">","<img src=""Lv05_0063_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
扜く,麾く,Lv05_0063,さしまねく,,麾く・差し招く・撝く,手招きすること。,,05,"<img src=""Lv05_0063.png"">","<img src=""Lv05_0063_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
衾,,Lv05_0064,ふすま,,,寝るときにかける夜具。掛け布団。,襖(ふすま)とは別物。,05,"<img src=""Lv05_0064.png"">","<img src=""Lv05_0064_cropped.png"">",漢字でGO!-05
