単語,元単語,問題ID,読み方,別解,別表記,意味,追記,レベル,画像,切り抜き画像,Tags
穭,,Lv06_0166,おろかおい,,疎生,刈ったあと種がこぼれて自然に生えた稲。また、草木の切り株から生えた芽。,,06,"<img src=""Lv06_0166.png"">","<img src=""Lv06_0166_cropped.png"">",漢字でGO!-06
疎生,穭,Lv06_0166,おろかおい,,穭,刈ったあと種がこぼれて自然に生えた稲。また、草木の切り株から生えた芽。,,06,"<img src=""Lv06_0166.png"">","<img src=""Lv06_0166_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
脈窠,,Lv06_0167,すかり,,,鉱脈、岩石などの中にできた空洞。,,06,"<img src=""Lv06_0167.png"">","<img src=""Lv06_0167_cropped.png"">",漢字でGO!-06
舟笭,,Lv06_0168,ふなどこ,,船床・船笭,船中の床に敷くすのこ。転じて、船底の積荷場所。,,06,"<img src=""Lv06_0168.png"">","<img src=""Lv06_0168_cropped.png"">",漢字でGO!-06
船床,舟笭,Lv06_0168,ふなどこ,,舟笭・船笭,船中の床に敷くすのこ。転じて、船底の積荷場所。,,06,"<img src=""Lv06_0168.png"">","<img src=""Lv06_0168_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
船笭,舟笭,Lv06_0168,ふなどこ,,舟笭・船床,船中の床に敷くすのこ。転じて、船底の積荷場所。,,06,"<img src=""Lv06_0168.png"">","<img src=""Lv06_0168_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
筇,,Lv06_0169,つえ,,杖,手に持ち地面について、歩行のたすけとする棒。特に、竹で作った杖。,,06,"<img src=""Lv06_0169.png"">","<img src=""Lv06_0169_cropped.png"">",漢字でGO!-06
杖,筇,Lv06_0169,つえ,,筇,手に持ち地面について、歩行のたすけとする棒。特に、竹で作った杖。,,06,"<img src=""Lv06_0169.png"">","<img src=""Lv06_0169_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
筎,,Lv06_0170,まきはだ,,槙肌・槇皮・槇絮・衣絮,槇の木の皮を柔らかくしてゆるい縄状(繊維状)にしたもの。,「まいはだ」「まえはだ」「のみ」「のめ」などとも。,06,"<img src=""Lv06_0170.png"">","<img src=""Lv06_0170_cropped.png"">",漢字でGO!-06
槙肌,筎,Lv06_0170,まきはだ,,筎・槇皮・槇絮・衣絮,槇の木の皮を柔らかくしてゆるい縄状(繊維状)にしたもの。,「まいはだ」「まえはだ」「のみ」「のめ」などとも。,06,"<img src=""Lv06_0170.png"">","<img src=""Lv06_0170_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
